id,course_name,general_req,min_unit,max_unit,open_aut,open_win,open_spr,created_at,updated_at
1,AA47SI,,1,1,false,true,false,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
2,AA93,,1,1,false,false,true,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
3,AA100,"GER:DB-EngrAppSci,WAY-AQR,WAY-SMA",3,3,true,false,false,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
4,AA115N,GER:DB-EngrAppSci,3,3,false,false,false,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
5,AA116Q,"GER:DB-EngrAppSci,WAY-AQR,WAY-SMA",3,3,true,false,false,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
6,AA190,,3,5,true,true,true,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
7,AA199,,1,5,true,true,true,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
8,AA200,,3,3,false,true,false,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
9,AA201A,,3,3,false,false,true,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
10,AA201B,,3,3,false,false,false,2016-02-18 04:59:19 UTC,2016-02-18 04:59:19 UTC
11,AA203,,3,3,false,false,true,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
12,AA206,,3,3,false,false,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
13,AA208,,3,3,false,false,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
14,AA210A,,3,3,true,false,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
15,AA210B,,3,3,false,false,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
16,AA212,,3,3,false,true,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
17,AA214A,,3,3,true,false,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
18,AA214B,,3,3,false,true,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
19,AA214C,,3,3,false,false,true,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
20,AA215A,,3,3,false,true,false,2016-02-18 04:59:20 UTC,2016-02-18 04:59:20 UTC
21,AA215B,,3,3,false,false,false,2016-02-18 04:59:21 UTC,2016-02-18 04:59:21 UTC
